_id,itemMasterRef,selectedItemMaster[0]._id,selectedItemMaster[0].itemType,selectedItemMaster[0].itemDescription,selectedItemMaster[0].itemFqInMonths,selectedItemMaster[0].calAlertInDay,selectedItemMaster[0].status,selectedItemMaster[0].__v,isItemMaster,itemAddMasterName,itemPlant,itemIMTENo,itemType,itemRangeSize,itemRangeSizeUnit,itemMFRNo,itemLC,itemLCUnit,itemMake,itemModelNo,itemStatus,itemReceiptDate,itemDepartment,itemCurrentLocation,itemArea,itemPlaceOfUsage,itemCalFreInMonths,itemCalAlertDays,itemCalibrationSource,itemCalibrationDoneAt,itemItemMasterName,itemUncertainity,itemUncertainityUnit,itemPrevCalData,itemCalDate,itemDueDate,itemCalibratedAt,itemCertificateName,itemCertificateNo,itemPartName[0],itemPartName[1],itemOBType,acceptanceCriteria[0]._id,acceptanceCriteria[0].acWearLimitPS,itemCreatedBy,createdAt,updatedAt,__v,itemLocation,itemLastLocation
65a22ee389d8a1370a226180,65a1236bc70230ea4df8ccab,65a1236bc70230ea4df8ccab,attribute,Plain Plug Gauge,6,7,Active,0,0,Plain Plug Gauge,plant-2,test,attribute,123,mm,mfr,,,Make,,active,2024-01-13,Quality,Quality,N/A,N/A,6,7,inhouse,,,,,available,2024-01-13,2024-07-12,inhouse,,123,6554ae055722caaad4f1e634,65646e262ab04521243acbf3,average,65a22ee389d8a1370a226181,--,65a1187fc70230ea4df8c99e,2024-01-13,2024-01-13,0,,
65a2305c71e89d86427d1bc2,Vernier Height Gauge,,,,,,,,,Vernier Height Gauge,Plant-2,SBC2/VHG/03,variable,0-300,mm,-,,,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Production,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-97,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bc4,Bore Dial Gauge,,,,,,,,,Bore Dial Gauge,Plant-2,SBC2/BDG/028,variable,35-60,mm,-,,,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Quality,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-99,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bc6,Digital Micrometer,,,,,,,,,Digital Micrometer,Plant-2,SBC2/DG/MM/004,variable,0-25,mm,-,0.001,mm,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Quality,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-102,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bc7,External Micrometer,,,,,,,,,External Micrometer,Plant-2,SBC2/MM/020/1,variable,0-25,mm,-,,,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Quality,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-103,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bc3,Plunger Dial Gauge,,,,,,,,,Plunger Dial Gauge,Plant-2,SBC2/PDG/01/1,variable,0-0.1,mm,-,,,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Quality,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-98,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bca,Digital Micrometer,,,,,,,,,Digital Micrometer,Plant-2,SBC2/SM/DMM/003,variable,50-75,mm,-,0.001,mm,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Quality,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-106,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bcb,Digital Micrometer,,,,,,,,,Digital Micrometer,Plant-2,SBC/MM/20,variable,75-100,mm,-,0.001,mm,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Quality,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-107,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bc5,Pistol Caliper,,,,,,,,,Pistol Caliper,Plant-2,SBC2/PC/02,variable,0-50,mm,-,,,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Sample,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-101,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bc9,External Micrometer,,,,,,,,,External Micrometer,Plant-2,SBC2/MM/027,variable,25-50,mm,-,,,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Quality,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-105,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bcc,Digital Vernier Caliper,,,,,,,,,Digital Vernier Caliper,Plant-2,SBC/DVC/31,variable,0-200,mm,-,0.01,mm,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,NPD,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-108,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bcd,Digital Vernier Caliper,,,,,,,,,Digital Vernier Caliper,Plant-2,SBC/DVC/23,variable,0-200,mm,-,0.01,mm,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,NPD,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-109,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bce,Digital Vernier Caliper,,,,,,,,,Digital Vernier Caliper,Plant-2,SBC/DVC/24,variable,0-200,mm,-,0.01,mm,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Production,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-88,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bd0,Digital Vernier Caliper,,,,,,,,,Digital Vernier Caliper,Plant-2,SBC/DVC/33,variable,0-200,mm,-,0.01,mm,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Quality,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-93,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bd2,Dial Vernier Caliper,,,,,,,,,Dial Vernier Caliper,Plant-2,SBC/DLVC/25,variable,0-200,mm,-,,,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Production,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-93,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bcf,Digital Vernier Caliper,,,,,,,,,Digital Vernier Caliper,Plant-2,SBC/DVC/32,variable,0-200,mm,-,0.01,mm,-,-,Rejected,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Production,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-89,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bd1,Digital Vernier Caliper,,,,,,,,,Digital Vernier Caliper,Plant-2,SBC/DVC/34,variable,0-200,mm,-,0.01,mm,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Sample,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-92,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bd3,Dial Vernier Caliper,,,,,,,,,Dial Vernier Caliper,Plant-2,SBC/DLVC/017,variable,0-300,mm,-,,,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Production,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-94,,,,,,,2024-01-13,2024-01-13,0,department,Quality
65a2305c71e89d86427d1bd4,Torque Wrench,,,,,,,,,Torque Wrench,Plant-2,SBC2/TW/005,variable,10 to 50,Nm,-,,,-,-,Active,Wed Jan 10 2024 23:59:50 GMT+0530 (India Standard Time),Quality,Production,N/A,N/A,6,7,outsource,,,,,,Wed Oct 04 2023 23:59:50 GMT+0530 (India Standard Time),Wed Apr 03 2024 23:59:50 GMT+0530 (India Standard Time),Perfect Calibration Centre Pvt.Ltd.,,PC-10-23/ATM/0236-95,,,,,,,2024-01-13,2024-01-13,0,department,Quality
